,hid_dim,final_dim,num_layers,num_epochs,lr,test_loss,preds
39,50,30,5,40,1e-06,6.785812555948892,"[80.41836853027344, 79.83334452311198, 80.33508173624675, 80.10717061360677, 79.89281539916992, 79.65219192504883, 80.7562973022461, 80.22910741170247, 80.38368530273438, 80.47021713256837]"
40,50,30,5,40,5e-06,7.806808115641277,"[79.58907877604166, 79.0160769144694, 79.43849970499674, 79.30110117594401, 79.0350741068522, 78.85764109293619, 79.90774637858073, 79.44869003295898, 79.58937530517578, 79.65725606282552]"
41,50,30,5,40,1e-05,7.434382858276368,"[80.59552230834962, 80.01648254394532, 80.47501322428386, 80.29751358032226, 80.05544815063476, 79.8441775004069, 80.9218635559082, 80.43237431844075, 80.5805903116862, 80.66073786417643]"
42,50,30,5,50,1e-06,6.843354441324871,"[80.16054407755534, 79.57444381713867, 80.00684611002605, 79.86877848307292, 79.60848973592122, 79.44332427978516, 80.52289454142253, 80.04551798502604, 80.19489161173503, 80.26635869344075]"
43,50,30,5,50,5e-06,7.046449534098306,"[80.31811294555663, 79.742249806722, 80.26281127929687, 80.00931040445964, 79.81237920125325, 79.54542770385743, 80.65422846476237, 80.11352971394857, 80.2706797281901, 80.36240030924479]"
44,50,30,5,50,1e-05,7.691852162679038,"[80.69167505900064, 80.10516077677408, 80.56007817586263, 80.39258728027343, 80.1474225362142, 79.94933573404948, 81.0370262145996, 80.53999226888021, 80.6923329671224, 80.77048568725586]"
45,50,30,6,30,1e-06,6.598831380208334,"[80.34747263590495, 79.75928700764975, 80.24445164998373, 80.04993336995443, 79.81858571370442, 79.61169001261393, 80.7326166788737, 80.2030263264974, 80.36108881632487, 80.43015569051107]"
46,50,30,6,30,5e-06,7.168794275919595,"[80.54515914916992, 79.97041193644206, 80.40121409098307, 80.25879592895508, 80.00381088256836, 79.81388778686524, 80.87652587890625, 80.41249440511068, 80.55690256754558, 80.63542226155599]"
47,50,30,6,30,1e-05,8.08450553894043,"[79.70361633300782, 79.1259267171224, 79.6110247294108, 79.4040771484375, 79.1870595296224, 78.96163813273112, 80.0599146525065, 79.53801879882812, 79.6949099222819, 79.77752990722657]"
48,50,30,6,40,1e-06,6.904757436116537,"[80.04616292317708, 79.46815414428711, 79.92345377604167, 79.74403330485026, 79.50089874267579, 79.2882573445638, 80.35593643188477, 79.86672236124674, 80.01209843953451, 80.08942006429037]"
49,50,30,6,40,5e-06,7.543992462158203,"[79.55779596964518, 78.98599166870117, 79.40173797607422, 79.27422256469727, 79.01362762451171, 78.83686650594076, 79.87839813232422, 79.42710825602214, 79.57002639770508, 79.64383163452149]"
50,50,30,6,40,1e-05,6.9774804941813136,"[80.37688369750977, 79.79713363647461, 80.22367757161459, 80.08779856363932, 79.82213719685872, 79.64813995361328, 80.71388498942058, 80.2478744506836, 80.39277674357096, 80.4653714497884]"
51,50,30,6,50,1e-06,7.129251708984375,"[79.65179163614908, 79.08602879842122, 79.46611251831055, 79.37830352783203, 79.08329162597656, 78.93646036783854, 79.95018513997395, 79.54048767089844, 79.67142105102539, 79.73475036621093]"
52,50,30,6,50,5e-06,6.990047200520834,"[80.15951410929362, 79.57506739298502, 80.07862447102865, 79.85310084025065, 79.64397888183593, 79.40787124633789, 80.5262575785319, 79.98446960449219, 80.14530792236329, 80.22857233683268]"
53,50,30,6,50,1e-05,7.011975072224934,"[80.86697031656901, 80.28244984944662, 80.73871612548828, 80.57299016316732, 80.33055292765299, 80.13395385742187, 81.2269391377767, 80.7326675415039, 80.88514099121093, 80.96572977701823]"
54,75,20,4,30,1e-06,7.142998784383137,"[80.11013234456381, 79.54452743530274, 79.98756612141928, 79.8234359741211, 79.57789586385091, 79.36775080362956, 80.4152618408203, 79.95527776082356, 80.09527333577473, 80.1796272277832]"
55,75,20,4,30,5e-06,30.126632792154943,"[57.766762392843766, 57.35375351222853, 57.62366902939975, 57.56243423732619, 57.351665855571625, 57.24008036566277, 57.97440780910353, 57.66974218003452, 57.76640788031121, 57.81808329535027]"
56,75,20,4,30,1e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
57,75,20,4,40,1e-06,7.792227198282878,"[79.16825764973959, 78.58438466389974, 79.10099512736002, 78.85741322835287, 78.65798467000326, 78.42348683675131, 79.55390548706055, 78.99301020304362, 79.15643895467123, 79.23806660970052]"
58,75,20,4,40,5e-06,25.52524040222168,"[61.459932955726984, 61.012526441241306, 61.36322581407924, 61.23215407592555, 61.04733707966904, 60.89381992879013, 61.728010297442474, 61.34428303303818, 61.4613774544249, 61.5182980782042]"
59,75,20,4,40,1e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
60,75,20,4,50,1e-06,10.125857073465985,"[77.05530344744524, 76.49343452552954, 77.00677566627661, 76.76190541684628, 76.59268137713273, 76.34324442644915, 77.44269638160864, 76.89878171384335, 77.06305681963762, 77.15133361915747]"
61,75,20,4,50,5e-06,15.0337769317627,"[73.06994776365657, 72.5491312149912, 72.90347030597428, 72.81666407225033, 72.56201395628354, 72.41767700153092, 73.35030207273861, 72.96573354043066, 73.0906788631032, 73.16073399819433]"
62,75,20,4,50,1e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
63,75,20,5,30,1e-06,6.239747899373371,"[80.81747385660807, 80.23412831624348, 80.72452341715494, 80.51428654988607, 80.29557469685872, 80.06453755696614, 81.16810404459635, 80.64579798380534, 80.80406087239584, 80.89341481526692]"
64,75,20,5,30,5e-06,12.430110168457029,"[75.83157373666764, 75.28726373910904, 75.69984283049901, 75.55913594166438, 75.32693099578222, 75.13997064828872, 76.1497789978981, 75.69553552865982, 75.83797047535579, 75.91487375497817]"
65,75,20,5,30,1e-05,16.474530105590823,"[72.29031380961338, 71.76444176981846, 72.20685128519932, 72.01641396830479, 71.81706780741612, 71.611755460004, 72.61051085144281, 72.13542006164789, 72.27674544006587, 72.34709557841221]"
66,75,20,5,40,1e-06,7.265080235799153,"[79.77759145100912, 79.21110458374024, 79.59422175089519, 79.50244776407878, 79.22422561645507, 79.06636555989583, 80.08769098917644, 79.65824915568034, 79.79762827555338, 79.88081181844076]"
67,75,20,5,40,5e-06,14.038251495361328,"[73.44981086800496, 72.92798749357462, 73.32751650561889, 73.19034100919961, 72.96920885791381, 72.78886675586303, 73.75117907275757, 73.32989713102579, 73.46438352018595, 73.54869214445353]"
