,hid_dim,final_dim,num_layers,num_epochs,lr,test_loss,preds
27,50.0,10.0,3.0,20.0,5e-06,86.68967666625977,"[-0.2146686613559723, -0.2146686613559723, -0.2146686613559723, -0.2146686613559723, -0.2146686613559723, -0.2146686613559723, -0.2146686613559723, -0.2146686613559723, -0.2146686613559723, -0.2146686613559723]"
28,50.0,10.0,3.0,20.0,1e-05,86.56790390014649,"[-0.09289795160293579, -0.09289795160293579, -0.09289795160293579, -0.09289795160293579, -0.09289795160293579, -0.09289795160293579, -0.09289795160293579, -0.09289795160293579, -0.09289795160293579, -0.09289795160293579]"
29,50.0,10.0,3.0,20.0,5e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
30,50.0,10.0,3.0,30.0,5e-07,86.2779411315918,"[0.19706502556800842, 0.19706502556800842, 0.19706502556800842, 0.19706502556800842, 0.19706502556800842, 0.19706502556800842, 0.19706502556800842, 0.19706502556800842, 0.19706502556800842, 0.19706502556800842]"
31,50.0,10.0,3.0,30.0,1e-06,86.44877090454102,"[0.02624044194817543, 0.02624044194817543, 0.02624044194817543, 0.02624044194817543, 0.02624044194817543, 0.02624044194817543, 0.02624044194817543, 0.02624044194817543, 0.02624044194817543, 0.02624044194817543]"
32,50.0,10.0,3.0,30.0,5e-06,86.47441329956055,"[0.0005975719541311264, 0.0005975719541311264, 0.0005975719541311264, 0.0005975719541311264, 0.0005975719541311264, 0.0005975719541311264, 0.0005975719541311264, 0.0005975719541311264, 0.0005975719541311264, 0.0005975719541311264]"
33,50.0,10.0,3.0,30.0,1e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
34,50.0,10.0,3.0,30.0,5e-05,86.03496780395508,"[0.44004306197166443, 0.44004306197166443, 0.44004306197166443, 0.44004306197166443, 0.44004306197166443, 0.44004306197166443, 0.44004306197166443, 0.44004306197166443, 0.44004306197166443, 0.44004306197166443]"
35,50.0,10.0,3.0,40.0,5e-07,12.076329040527344,"[74.53453063964844, 73.9566879272461, 73.96122741699219, 74.34904479980469, 73.87364196777344, 74.06309509277344, 74.889404296875, 74.70706939697266, 74.83150482177734, 74.82058715820312]"
36,50.0,10.0,3.0,40.0,1e-06,3.389007568359375,"[86.06916809082031, 85.41142272949219, 86.03800964355469, 85.66708374023438, 85.5390396118164, 85.19808197021484, 86.37789916992188, 85.7104263305664, 85.90991973876953, 86.0981674194336]"
37,50.0,10.0,3.0,40.0,5e-06,12.550246429443359,"[74.1717758178711, 73.66053009033203, 74.3525161743164, 73.83580017089844, 73.80309295654297, 73.3201904296875, 74.39708709716797, 73.7496337890625, 73.9124984741211, 74.04449462890625]"
38,50.0,10.0,3.0,40.0,1e-05,86.55456008911133,"[-0.0795513391494751, -0.0795513391494751, -0.0795513391494751, -0.0795513391494751, -0.0795513391494751, -0.0795513391494751, -0.0795513391494751, -0.0795513391494751, -0.0795513391494751, -0.0795513391494751]"
39,50.0,10.0,3.0,40.0,5e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
40,50.0,10.0,3.0,50.0,5e-07,86.52449264526368,"[-0.04948429763317108, -0.04948429763317108, -0.04948429763317108, -0.04948429763317108, -0.04948429763317108, -0.04948429763317108, -0.04948429763317108, -0.04948429763317108, -0.04948429763317108, -0.04948429763317108]"
41,50.0,10.0,3.0,50.0,1e-06,15.25970687866211,"[71.32234954833984, 70.80535888671875, 71.07727813720703, 71.11656951904297, 70.80960083007812, 70.79132843017578, 71.74517059326172, 71.40043640136719, 71.52845764160156, 71.55646514892578]"
42,50.0,10.0,3.0,50.0,5e-06,86.72728958129883,"[-0.2522814869880676, -0.2522814869880676, -0.2522814869880676, -0.2522814869880676, -0.2522814869880676, -0.2522814869880676, -0.2522814869880676, -0.2522814869880676, -0.2522814869880676, -0.2522814869880676]"
43,50.0,10.0,3.0,50.0,1e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
44,50.0,10.0,3.0,50.0,5e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
45,50.0,10.0,3.0,60.0,5e-07,4.792366027832031,"[82.81344604492188, 82.0795669555664, 82.16564178466797, 82.4209976196289, 81.72501373291016, 81.96971893310547, 82.93272399902344, 82.60326385498047, 82.68904113769531, 82.56903839111328]"
46,50.0,10.0,3.0,60.0,1e-06,8.443253326416016,"[78.19606018066406, 77.68006134033203, 77.70796203613281, 78.01996612548828, 77.54752349853516, 77.640380859375, 78.37584686279297, 78.31755828857422, 78.38301086425781, 78.44918060302734]"
47,50.0,10.0,3.0,60.0,5e-06,86.1164421081543,"[0.3585652709007263, 0.3585652709007263, 0.3585652709007263, 0.3585652709007263, 0.3585652709007263, 0.3585652709007263, 0.3585652709007263, 0.3585652709007263, 0.3585652709007263, 0.3585652709007263]"
48,50.0,10.0,3.0,60.0,1e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
49,50.0,10.0,3.0,60.0,5e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
50,50.0,10.0,4.0,20.0,5e-07,10.104938507080078,"[76.52629089355469, 75.87957000732422, 76.7410888671875, 76.13896179199219, 76.15995788574219, 75.738037109375, 77.23283386230469, 76.23883056640625, 76.49897766113281, 76.54615020751953]"
51,50.0,10.0,4.0,20.0,1e-06,3.487377166748047,"[88.30261993408203, 87.6761245727539, 88.19442749023438, 87.97924041748047, 87.71159362792969, 87.47049713134766, 88.66261291503906, 88.12109375, 88.27686309814453, 88.35167694091797]"
52,50.0,10.0,4.0,20.0,5e-06,86.62567367553712,"[-0.1506686508655548, -0.1506686508655548, -0.1506686508655548, -0.1506686508655548, -0.1506686508655548, -0.1506686508655548, -0.1506686508655548, -0.1506686508655548, -0.1506686508655548, -0.1506686508655548]"
53,50.0,10.0,4.0,20.0,1e-05,86.5193962097168,"[-0.04439026117324829, -0.04439026117324829, -0.04439026117324829, -0.04439026117324829, -0.04439026117324829, -0.04439026117324829, -0.04439026117324829, -0.04439026117324829, -0.04439026117324829, -0.04439026117324829]"
54,50.0,10.0,4.0,20.0,5e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
55,50.0,10.0,4.0,30.0,5e-07,8.544129180908204,"[78.12872314453125, 77.56846618652344, 77.78495788574219, 77.88738250732422, 77.4802474975586, 77.48123168945312, 78.39911651611328, 78.11762237548828, 78.22089385986328, 78.24015045166016]"
56,50.0,10.0,4.0,30.0,1e-06,6.142812347412109,"[80.59078216552734, 80.05310821533203, 80.22895812988281, 80.38162231445312, 79.98933410644531, 79.9976577758789, 80.85250854492188, 80.6725082397461, 80.7660903930664, 80.86695098876953]"
57,50.0,10.0,4.0,30.0,5e-06,86.75341262817383,"[-0.27840089797973633, -0.27840089797973633, -0.27840089797973633, -0.27840089797973633, -0.27840089797973633, -0.27840089797973633, -0.27840089797973633, -0.27840089797973633, -0.27840089797973633, -0.27840089797973633]"
58,50.0,10.0,4.0,30.0,1e-05,86.5885108947754,"[-0.11349916458129883, -0.11349916458129883, -0.11349916458129883, -0.11349916458129883, -0.11349916458129883, -0.11349916458129883, -0.11349916458129883, -0.11349916458129883, -0.11349916458129883, -0.11349916458129883]"
59,50.0,10.0,4.0,30.0,5e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
60,50.0,10.0,4.0,40.0,5e-07,10.82669677734375,"[75.93379974365234, 75.4007568359375, 76.04425811767578, 75.576171875, 75.50203704833984, 75.05186462402344, 76.07865905761719, 75.4714126586914, 75.63441467285156, 75.78974151611328]"
61,50.0,10.0,4.0,40.0,1e-06,8.900649261474609,"[77.7446060180664, 77.13853454589844, 77.64468383789062, 77.44121551513672, 77.2322998046875, 77.04428100585938, 78.24072265625, 77.62100982666016, 77.80651092529297, 77.82972717285156]"
62,50.0,10.0,4.0,40.0,5e-06,86.32963790893555,"[0.1453724056482315, 0.1453724056482315, 0.1453724056482315, 0.1453724056482315, 0.1453724056482315, 0.1453724056482315, 0.1453724056482315, 0.1453724056482315, 0.1453724056482315, 0.1453724056482315]"
63,50.0,10.0,4.0,40.0,1e-05,3.3948463439941405,"[86.78535461425781, 86.24197387695312, 86.46672821044922, 86.553466796875, 86.1385498046875, 86.0287094116211, 86.88455200195312, 86.7101821899414, 86.78955078125, 86.88414764404297]"
64,50.0,10.0,4.0,40.0,5e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
65,50.0,10.0,4.0,50.0,5e-07,86.64665451049805,"[-0.17164742946624756, -0.17164742946624756, -0.17164742946624756, -0.17164742946624756, -0.17164742946624756, -0.17164742946624756, -0.17164742946624756, -0.17164742946624756, -0.17164742946624756, -0.17164742946624756]"
66,50.0,10.0,4.0,50.0,1e-06,7.986335754394531,"[78.72412109375, 78.22663879394531, 78.42350769042969, 78.50299072265625, 78.11949157714844, 78.01905059814453, 78.77651977539062, 78.6215591430664, 78.6922607421875, 78.78058624267578]"
67,50.0,10.0,4.0,50.0,5e-06,3.6062774658203125,"[88.98438262939453, 88.31867980957031, 89.05220794677734, 88.58653259277344, 88.50562286376953, 88.07308959960938, 89.46454620361328, 88.66193389892578, 88.88321685791016, 89.0172348022461]"
